municipality,year,Aplusplus,Aplus,A,B,C,D,E,F,G,unlabeled,percentage_houses_with_valid_labels,number_of_houses,average_house_worth,houses_per_hectare,total_natural_gas_used,total_electricity_used,households,people,CO2_production_houses,number_of_labels,houses_rented,houses_privately_owned
Steenwijkerland,2013,1,14,431,937,1573,1149,509,258,70,14555,25.3,19497,209,0.68,32680000,60040000,18690,43435,87253,4942,7199,12170
Steenwijkerland,2014,1,44,527,995,1652,1307,559,305,89,14050,28.1,19529,196,0.68,31210000,57260000,18615,43350,84333,5479,7196,12213
Steenwijkerland,2015,1,44,762,1112,1936,1406,602,356,170,13238,32.6,19627,189,0.68,30270000,55990000,18630,43219,83792,6389,7199,12299
Steenwijkerland,2016,1,44,980,1193,2139,1495,644,404,289,12447,36.6,19636,188,0.68,30140000,54740000,18650,43333,80722,7189,7156,12349
Steenwijkerland,2017,1,44,1294,1375,2670,1719,748,499,426,11011,44.4,19787,191,0.69,30110000,54450000,18845,43448,78430,8776,7266,12411
Steenwijkerland,2018,1,44,1496,1456,2771,1631,728,462,462,10900,45.4,19951,200,0.69,30780000,54640000,19060,43768,78640,9051,7256,12587
Steenwijkerland,2019,1,44,1910,1453,2849,1430,695,449,545,10638,46.8,20014,215,0.69,29790000,53300000,19250,43940,73116,9376,7003,12950
Steenwijkerland,2008,0,0,10,15,111,65,49,69,30,17851,1.9,18200,220,0.63,34080000,59100000,18030,43280,89625,349,0,0
Steenwijkerland,2009,0,0,22,104,423,408,156,130,40,16827,7.1,18110,227,0.63,34050000,58800000,18100,43220,88841,1283,6701,11228
Steenwijkerland,2010,0,0,194,411,1017,873,403,230,59,15056,17.5,18243,230,0.63,33380000,58560000,18230,43210,86628,3187,6751,11129
Stein,2010,0,1,7,54,61,117,38,31,14,10985,2.9,11308,208,5.36,20930000,41220000,11155,25675,56390,323,3506,7804
Stein,2011,0,2,64,356,485,472,174,104,30,9740,14.8,11427,196,5.42,20030000,40480000,11240,25710,53625,1687,3656,7769
Stein,2012,0,2,66,367,522,510,215,138,37,9573,16.2,11430,193,5.42,19230000,39940000,11260,25625,53152,1857,3004,8263
Stein,2013,0,2,67,457,617,605,264,188,62,9085,19.9,11347,188,5.38,19450000,39930000,11255,25430,53942,2262,3010,8272
