municipality,year,Aplusplus,Aplus,A,B,C,D,E,F,G,unlabeled,percentage_houses_with_valid_labels,number_of_houses,average_house_worth,houses_per_hectare,total_natural_gas_used,total_electricity_used,households,people,CO2_production_houses,number_of_labels,houses_rented,houses_privately_owned
Brielle,2008,0,0,0,1,12,12,10,3,2,6818,0.6,6858,252,2.49,10870000,23250000,6740,15760,30736,40,0,0
Brielle,2009,0,0,0,30,23,16,14,11,3,6618,1.4,6715,265,2.44,11010000,23090000,6700,15600,30676,97,2417,4230
Brielle,2010,0,0,0,30,28,20,17,13,4,6898,1.6,7010,265,2.54,10920000,24220000,6825,15760,30669,112,2664,4276
Brielle,2011,0,0,0,36,61,29,372,154,8,6529,9.2,7189,258,2.61,10840000,24580000,7040,15980,30202,660,2948,4242
Bronckhorst,2010,2,3,80,21,238,175,73,39,16,14299,4.3,14946,298,0.53,30280000,55680000,15110,37750,79754,647,4782,10013
Bronckhorst,2011,2,3,92,204,488,380,168,64,18,13581,9.5,15000,294,0.53,29940000,55880000,15120,37675,78126,1419,4952,9903
Bronckhorst,2012,2,3,161,306,589,539,198,87,22,13133,12.7,15040,285,0.53,27900000,54740000,15195,37440,75605,1907,4687,10773
Bronckhorst,2013,2,14,197,417,622,581,228,87,22,13430,13.9,15600,271,0.55,28630000,55740000,15325,37215,77940,2170,4729,10785
Bronckhorst,2014,13,15,252,524,728,635,253,92,24,13461,15.9,15997,257,0.56,28430000,54960000,15325,36930,78233,2536,4815,10846
Bronckhorst,2015,13,15,435,757,1142,741,312,135,98,12426,22.7,16074,243,0.57,28010000,53630000,15315,36726,78500,3648,4832,10904
Bronckhorst,2016,13,15,580,868,1322,827,352,194,179,11767,27,16117,241,0.57,28070000,52320000,15320,36510,75820,4350,4818,10940
Bronckhorst,2017,13,15,697,1012,1567,918,414,246,250,10931,31.9,16063,244,0.57,28000000,50530000,15475,36410,72890,5132,4860,10960
Bronckhorst,2018,13,15,769,1010,1702,900,476,259,300,10644,33.8,16088,254,0.57,27790000,49120000,15520,36352,70928,5444,4564,11310
Bronckhorst,2019,13,15,852,1061,1766,946,492,293,376,10338,36,16152,267,0.57,27100000,50080000,15530,36212,67131,5814,4700,11407
Bronckhorst,2008,0,0,9,4,29,27,34,20,7,14608,0.9,14738,291,0.52,31140000,55600000,15020,37830,82668,130,0,0
Bronckhorst,2009,0,0,11,9,118,41,48,27,9,14600,1.8,14863,294,0.52,30810000,56070000,15060,37900,81762,263,4757,9960
Brummen,2013,0,8,191,544,953,667,248,77,19,6373,29.8,9080,252,1.09,15320000,29050000,9065,21245,41341,2707,3676,5343
Brummen,2014,0,9,191,544,953,667,249,77,19,6388,29.8,9097,240,1.09,14710000,27840000,9060,21175,40186,2709,3656,5390
Brummen,2015,0,9,518,656,1090,715,274,106,58,5824,37,9250,233,1.11,14630000,27650000,9030,20983,40816,3426,3635,5451
Brummen,2016,0,9,624,718,1175,764,302,134,105,5429,41.4,9260,233,1.11,14430000,26800000,9030,20938,38933,3831,3631,5461
Brummen,2017,0,9,702,835,1300,797,326,162,141,4977,46.2,9249,236,1.11,14570000,26350000,9030,20843,37948,4272,3623,5492
Brummen,2018,0,9,800,896,1260,848,291,176,161,4838,47.9,9279,243,1.11,14380000,25730000,9035,20771,36817,4441,3464,5679
Brummen,2019,0,9,1070,876,1250,803,285,195,192,4630,50.3,9310,255,1.11,14340000,26010000,9030,20698,35314,4680,3556,5746
Brummen,2008,0,0,1,8,16,93,12,10,6,8383,1.7,8529,274,1.02,16380000,28920000,8620,21200,43328,146,0,0
Brummen,2009,0,0,1,14,44,97,13,14,12,8379,2.3,8574,279,1.02,16540000,29070000,8670,21160,43386,195,3516,4974
Brummen,2010,0,0,4,19,58,106,21,16,12,8348,2.7,8584,283,1.03,16350000,29790000,8780,21140,42944,236,3520,4979
Brummen,2011,0,0,79,180,445,196,59,22,15,7588,11.6,8584,277,1.03,15770000,29460000,8865,21220,41155,996,3520,4979
Brummen,2012,0,0,79,352,617,234,87,34,19,7188,16.5,8610,265,1.03,14690000,28420000,9015,21325,39620,1422,3681,5280
Brunssum,2010,1,1,10,82,135,313,150,67,38,13332,5.6,14129,157,8.19,23220000,45770000,13640,29450,62564,797,5652,8337
Brunssum,2011,1,1,32,88,159,319,153,70,41,13299,6.1,14163,151,8.21,21250000,44210000,13680,29375,57447,864,5666,8357
Brunssum,2012,1,1,33,185,310,402,177,79,42,13000,8.6,14230,148,8.25,21400000,43910000,13705,29200,58897,1230,5545,8652
Brunssum,2013,1,1,147,424,964,910,518,291,110,10989,23.4,14355,141,8.32,21010000,43400000,13665,29080,58393,3366,5711,8620
Brunssum,2014,1,1,185,512,1382,1245,694,382,117,10036,31,14555,133,8.44,20270000,42140000,13635,28955,57253,4519,5716,8637
Brunssum,2015,1,1,299,614,1577,1345,765,435,161,9336,35.8,14534,129,8.43,19790000,41780000,13545,28656,57533,5198,5688,8643
Brunssum,2016,1,1,381,668,1695,1427,876,484,218,8760,39.6,14511,131,8.41,19380000,40730000,13550,28448,54613,5751,5649,8652
Brunssum,2017,1,1,487,741,1804,1477,927,534,268,8224,43.1,14464,136,8.38,19360000,40920000,13600,28358,53097,6240,5680,8595
Brunssum,2018,1,1,568,784,1916,1475,949,564,298,7952,45.2,14508,140,8.41,19240000,39430000,13625,28241,51419,6556,5613,8708
Brunssum,2019,1,0,664,780,1893,1429,910,592,327,7883,45.6,14479,146,8.39,19050000,38200000,13635,28103,48249,6596,5621,8815
Brunssum,2009,0,1,8,51,99,118,88,57,37,13710,3.2,14169,154,8.21,23910000,46010000,13620,29530,64644,459,5526,8502
Brunssum,2008,0,0,0,6,13,29,17,7,11,14019,0.6,14102,154,8.18,23700000,44440000,13600,29740,63963,83,0,0
Bunnik,2009,0,0,8,32,105,21,17,36,4,5619,3.8,5842,337,1.58,10990000,21200000,5990,14410,29730,223,1460,4322
Bunnik,2010,0,0,8,62,396,44,64,64,13,5228,11.1,5879,338,1.59,10980000,21190000,6030,14460,29386,651,1529,4292
Bunnik,2011,0,0,46,143,487,164,90,81,15,4877,17.4,5903,332,1.6,10220000,20680000,6035,14435,27369,1026,1594,4252
Bunnik,2012,0,0,69,150,494,170,90,83,15,4864,18,5935,320,1.61,10050000,20140000,6090,14450,27441,1071,1533,4394
Bunnik,2013,0,0,88,152,583,192,90,83,15,4879,19.8,6082,295,1.65,9980000,20320000,6190,14560,27605,1203,1597,4470
Bunnik,2014,0,0,90,155,584,199,94,83,15,4881,20,6101,271,1.65,9460000,19370000,6225,14625,26574,1220,1577,4510
Bunnik,2015,0,0,184,182,679,235,122,100,29,4676,24.7,6207,272,1.68,9560000,19300000,6265,14662,27324,1531,1641,4549
Bunnik,2016,0,0,338,219,790,271,151,115,41,4344,30.7,6269,276,1.7,9510000,19100000,6325,14773,26360,1925,1629,4615
Bunnik,2017,0,0,386,237,851,308,170,122,59,4209,33.6,6342,294,1.72,9580000,18950000,6445,15156,25683,2133,1673,4649
Bunnik,2018,0,0,412,259,898,321,184,129,71,4097,35.7,6371,319,1.72,9530000,18810000,6470,15214,25153,2274,1632,4707
Bunnik,2019,0,0,459,256,896,337,161,102,83,4085,36,6379,346,1.73,9340000,18070000,6445,15192,23423,2294,1562,4803
Bunnik,2008,0,0,0,1,1,4,1,2,2,5806,0.2,5817,328,1.57,11450000,20830000,5940,14260,30593,11,0,0
Bunschoten,2014,0,7,41,195,139,48,21,11,13,7392,6,7867,250,2.59,11620000,27940000,7675,20490,34715,475,1782,5979
Bunschoten,2015,0,7,250,415,416,96,54,25,25,6689,16.1,7977,249,2.63,11550000,27590000,7775,20647,35275,1288,1798,6074
Bunschoten,2016,0,7,430,559,656,140,80,43,44,6128,24.2,8087,254,2.66,11560000,27200000,7835,20823,33994,1959,2008,5972
Bunschoten,2017,0,7,605,616,739,173,99,57,59,5780,28.9,8135,262,2.68,11820000,27050000,7960,21020,33336,2355,2046,5981
Bunschoten,2018,0,7,811,668,809,200,122,70,70,5494,33.4,8251,276,2.72,11750000,27300000,8050,21266,32808,2757,2043,6088
Bunschoten,2019,0,7,936,671,870,220,131,86,77,5416,35.6,8414,291,2.77,11590000,26930000,8215,21576,30750,2998,2012,6296
Bunschoten,2011,0,0,6,75,46,42,19,7,13,7206,2.8,7414,271,2.44,12680000,28240000,7295,20110,35100,208,1780,5561
Bunschoten,2012,0,0,6,75,47,43,19,8,13,7264,2.8,7475,270,2.46,11860000,27840000,7370,20200,34296,211,1687,5899
Bunschoten,2013,0,0,36,98,75,46,19,8,13,7424,3.8,7719,263,2.54,12190000,28910000,7440,20315,35676,295,1743,5974
Bunschoten,2008,0,0,0,1,4,12,4,2,1,7002,0.3,7026,269,2.31,12480000,27170000,6920,19610,35535,24,0,0
Bunschoten,2009,0,0,0,34,7,13,4,2,1,7222,0.8,7283,277,2.4,12990000,28170000,7080,19750,36648,61,1676,5609
Bunschoten,2010,0,0,0,45,34,31,16,5,9,7187,1.9,7327,275,2.41,12870000,28130000,7235,20000,35958,140,1685,5567
Buren,2014,5,35,189,282,873,309,200,128,71,8104,20.5,10196,282,0.76,18210000,37230000,10375,26020,51126,2092,2633,7504
Buren,2015,5,35,335,392,999,373,224,152,117,7691,25.5,10323,276,0.77,17940000,36790000,10515,26117,51567,2632,2703,7542
Buren,2016,5,35,508,445,1100,457,256,181,166,7233,30.4,10386,271,0.78,17820000,36170000,10585,26202,49595,3153,2702,7606
Buren,2017,5,35,646,523,1228,521,270,211,213,6807,34.9,10459,278,0.78,18180000,35270000,10695,26348,48441,3652,2732,7655
Buren,2018,5,35,778,596,1265,479,242,203,229,6697,36.4,10529,284,0.79,18290000,34780000,10785,26365,47717,3832,2687,7772
Buren,2019,5,35,995,668,1328,494,240,204,262,6373,39.9,10604,301,0.79,18030000,35290000,10910,26576,45345,4231,2645,7924
Buren,2013,0,34,147,245,724,274,173,115,68,8261,17.7,10041,302,0.75,18680000,37930000,10210,25940,51598,1780,2559,7413
Buren,2010,0,0,3,57,163,142,97,60,29,9108,5.7,9659,334,0.72,19680000,37560000,10080,25885,52475,551,2705,6859
Buren,2011,0,0,91,200,582,216,136,101,59,8356,14.2,9741,326,0.73,19360000,38080000,10175,26015,51374,1385,2727,6915
Buren,2012,0,0,106,232,690,265,164,110,62,8441,16.2,10070,320,0.75,18650000,38600000,10180,25950,51486,1629,2580,7346
Buren,2008,0,0,0,10,31,34,12,15,15,9271,1.2,9388,322,0.7,19830000,36760000,9930,25730,53318,117,0,0
Buren,2009,0,0,0,48,153,132,91,55,26,8941,5.3,9446,333,0.71,20040000,37440000,9970,25670,53640,505,2550,6895
Capelle aan den IJssel,2008,1,0,3,86,61,76,29,7,3,28920,0.9,29186,200,20.64,28030000,89190000,28960,65020,107461,266,0,0
Capelle aan den IJssel,2009,1,0,3,86,256,327,153,413,46,28036,4.4,29321,204,20.74,28270000,91010000,29160,65270,107997,1285,14660,14367
Capelle aan den IJssel,2010,1,0,4,145,438,383,505,565,103,27705,7.2,29849,202,21.11,28300000,91270000,29360,65345,106589,2144,15224,14627
Capelle aan den IJssel,2011,1,0,5,196,1265,1365,1609,971,148,24760,18.3,30320,197,21.44,27260000,90890000,29780,66105,102224,5560,15463,14554
Capelle aan den IJssel,2012,1,0,186,1252,2584,2354,2015,1407,198,20363,32.9,30360,193,21.47,26260000,89730000,29890,66120,102248,9997,14952,15337
Capelle aan den IJssel,2013,1,0,186,1536,3304,2568,2017,1407,198,19223,36.8,30440,188,21.53,23180000,89520000,29985,66025,95949,11217,14980,15453
Capelle aan den IJssel,2014,1,0,207,1757,3720,3111,2221,1565,230,17915,41.7,30727,176,21.73,25410000,87640000,30150,66175,101736,12812,15050,15543
Capelle aan den IJssel,2015,1,0,436,2167,4324,3227,2345,1609,253,16366,46.7,30728,171,21.73,24380000,86420000,30415,66478,101573,14362,14942,15648
Capelle aan den IJssel,2016,1,0,688,2411,4912,3306,2436,1645,270,15058,51,30727,172,21.73,24280000,85280000,30520,66486,97200,15669,14810,15776
Capelle aan den IJssel,2017,1,0,804,2599,5421,3509,2544,1714,303,13850,55,30745,178,21.74,24250000,84430000,30635,66421,93298,16895,14799,15804
Capelle aan den IJssel,2018,0,0,1150,2712,5808,3221,2105,1491,908,13353,56.6,30748,189,21.75,24000000,82810000,30830,66854,90426,17395,14448,16221
Capelle aan den IJssel,2019,0,0,1709,3141,6035,2983,1994,1245,1296,12450,59.6,30853,202,21.82,23980000,80390000,30985,66818,84586,18403,14114,16717
Castricum,2010,0,1,0,69,36,100,61,48,9,14179,2.2,14503,307,2.92,26090000,47910000,14620,34650,68683,324,3916,10589
Castricum,2011,0,2,51,548,1011,493,256,64,10,12127,16.7,14562,298,2.93,25290000,48220000,14725,34595,66439,2435,3933,10632
Castricum,2012,0,2,60,602,1095,500,303,99,12,11902,18.3,14575,291,2.93,24060000,46710000,14755,34475,64966,2673,3605,11215
Castricum,2013,0,2,63,605,1102,506,304,101,13,12432,17.8,15128,280,3.05,24250000,47720000,14870,34400,66260,2696,3848,11227
Castricum,2014,0,3,107,693,1157,513,306,102,13,12257,19.1,15151,259,3.05,23540000,46110000,14805,34285,65083,2894,3890,11235
Castricum,2015,0,3,249,813,1366,629,369,140,41,11707,23.6,15317,251,3.08,22810000,45400000,14920,34361,64853,3610,3949,11309
Castricum,2016,0,3,492,906,1567,712,436,182,83,11078,28.3,15459,255,3.11,22830000,44130000,15090,34604,62441,4381,3998,11402
Castricum,2017,0,3,668,989,1749,817,504,213,109,10614,32.2,15666,267,3.15,22860000,43400000,15385,35216,60480,5052,4033,11588
Castricum,2018,0,3,846,983,1879,837,532,216,134,10384,34.3,15814,279,3.18,23150000,41890000,15585,35608,59479,5430,3959,11803
Castricum,2019,0,3,1029,1055,2063,932,574,245,164,9908,38,15973,314,3.22,22850000,42350000,15680,35772,56593,6065,3885,11931
Castricum,2008,0,0,0,5,19,29,26,18,7,14296,0.7,14400,304,2.9,25580000,47440000,14450,34700,68787,104,0,0
Castricum,2009,0,0,0,67,20,50,26,30,8,14227,1.4,14428,308,2.9,25740000,49600000,14580,34740,69625,201,3896,10534
Coevorden,2008,2,0,24,160,550,145,61,39,21,13738,6.8,14740,205,0.5,31140000,50680000,15130,35990,80265,1002,0,0
Coevorden,2009,2,0,27,181,983,262,125,47,31,13145,11.2,14803,215,0.5,30690000,50890000,15210,35890,79057,1658,4590,10067
Coevorden,2010,2,6,63,233,1080,319,145,53,33,12927,13,14861,213,0.5,30070000,51490000,15415,36120,77445,1934,4607,9956
Coevorden,2011,3,6,80,260,1160,334,151,53,35,12816,14,14898,213,0.5,29420000,51480000,15380,36065,75245,2082,4621,9986
Coevorden,2012,3,6,125,376,1262,347,162,53,36,12570,15.9,14940,209,0.5,27990000,50690000,15355,35880,73871,2370,4969,10998
Coevorden,2013,3,6,136,400,1287,355,167,56,37,12790,16.1,15237,203,0.51,28090000,51160000,15380,35765,74783,2447,4610,10520
Coevorden,2014,3,7,232,563,1350,494,208,71,41,12361,19.4,15330,191,0.52,27130000,49020000,15275,35770,72929,2969,4627,10518
Coevorden,2015,3,7,373,670,1549,633,249,110,93,11701,24,15388,187,0.52,26400000,48200000,15265,35535,72753,3687,4640,10549
Coevorden,2016,3,7,474,807,1808,745,297,150,139,10912,28.9,15342,185,0.52,26500000,47440000,15250,35381,70624,4430,4611,10559
Coevorden,2017,3,7,723,1070,2296,891,380,196,218,9499,37.8,15283,188,0.52,25590000,46230000,15320,35286,66628,5784,4601,10507
Coevorden,2018,1,5,1229,1139,2120,768,307,218,266,9425,39.1,15478,192,0.52,26110000,45840000,15340,35299,66481,6053,4867,10425
Coevorden,2019,1,3,1612,1145,1993,634,282,235,305,9311,40,15521,197,0.52,25370000,44640000,15440,35483,61958,6210,4734,10751
Cranendonck,2014,0,10,116,219,533,255,118,55,34,7375,15.4,8715,241,1.14,14890000,31080000,8525,20345,42112,1340,2151,6477
Cranendonck,2015,0,10,162,316,794,353,151,82,58,6830,22,8756,232,1.15,14290000,30800000,8625,20542,41874,1926,2165,6499
Cranendonck,2016,0,10,212,366,920,413,189,103,85,6483,26.2,8781,233,1.15,14220000,30520000,8770,20660,40384,2298,2172,6496
Cranendonck,2017,0,10,290,472,1159,467,219,125,113,5986,32.3,8841,238,1.16,14490000,29970000,8730,20676,39440,2855,2251,6536
Cranendonck,2018,0,10,351,520,1214,481,233,137,132,5809,34.6,8887,244,1.16,14500000,29780000,8745,20336,38768,3078,2266,6568
Cranendonck,2019,0,10,376,506,1104,396,190,127,124,6129,31.6,8962,257,1.17,14460000,29070000,8835,20440,36656,2833,2350,6606
Cranendonck,2009,0,0,44,74,226,129,69,33,34,7681,7.3,8290,287,1.09,16390000,32460000,8340,20270,44751,609,1990,6218
Cranendonck,2010,0,0,44,76,231,133,77,36,34,7784,7.5,8415,287,1.1,16330000,32440000,8460,20345,44111,631,2020,6311
Cranendonck,2011,0,0,45,122,275,164,83,41,34,7657,9.1,8421,274,1.1,16300000,31970000,8495,20370,43218,764,2189,6231
Cranendonck,2012,0,0,45,122,284,173,84,42,34,7646,9.3,8430,268,1.1,14910000,31550000,8530,20430,41496,784,2083,6399
Cranendonck,2013,0,0,45,162,530,252,118,55,34,7434,13.9,8630,255,1.13,15080000,32210000,8510,20330,42418,1196,2100,6457
Cranendonck,2008,0,0,0,4,13,15,3,4,1,8234,0.5,8274,282,1.08,17080000,31610000,8270,20260,45897,40,0,0
Cuijk,2012,0,1,100,431,631,121,28,12,3,8923,12.9,10250,233,2,15730000,34170000,10370,24650,44192,1327,3728,6474
Cuijk,2013,0,1,101,463,717,135,39,13,3,9025,14,10497,226,2.05,16110000,34580000,10460,24740,45395,1472,3809,6568
Cuijk,2014,0,2,185,707,879,162,43,16,6,8476,19.1,10476,212,2.05,15240000,33040000,10540,24780,43725,2000,3863,6573
Cuijk,2015,0,2,397,831,1416,257,89,38,22,7461,29,10513,203,2.05,15000000,32800000,10580,24649,44200,3052,3819,6645
Cuijk,2016,0,2,658,909,1612,370,123,68,53,6992,35.2,10787,200,2.11,15320000,32880000,10540,24608,43502,3795,3968,6766
Cuijk,2017,0,2,828,1037,2013,556,179,92,72,5948,44.6,10727,205,2.1,14940000,32960000,10615,24696,41593,4779,3859,6822
Cuijk,2018,0,2,996,1052,2142,578,192,106,87,5783,47.1,10938,211,2.14,15240000,32110000,10820,24911,41100,5155,3979,6910
Cuijk,2019,0,2,1388,1094,2109,589,206,111,96,5499,50.4,11094,220,2.17,15460000,31580000,10860,24931,39372,5595,4092,6964
Cuijk,2008,0,0,1,4,10,8,6,3,0,9924,0.3,9956,243,1.95,17690000,33750000,10000,24230,48025,32,0,0
Cuijk,2009,0,0,1,6,40,26,11,6,0,9968,0.9,10058,249,1.97,17460000,33620000,10100,24310,47212,90,3722,6338
Cuijk,2010,0,0,19,140,164,34,19,8,1,9815,3.8,10200,248,1.99,17070000,34670000,10220,24435,46463,385,3876,6324
Cuijk,2011,0,0,19,207,198,39,20,10,2,9666,4.9,10161,238,1.99,16310000,34570000,10335,24580,44370,495,3861,6299
Culemborg,2008,0,1,0,5,14,39,5,5,2,10926,0.6,10997,244,3.75,15840000,35180000,11140,27300,46662,71,0,0
Culemborg,2009,0,1,19,157,576,172,50,24,4,10197,9,11200,249,3.82,15660000,35830000,11300,27410,46285,1003,4480,6608
Culemborg,2010,0,1,23,196,662,199,71,34,7,10150,10.5,11343,251,3.87,15680000,36090000,11405,27500,46062,1193,4538,6694
Culemborg,2011,0,1,38,253,810,218,73,36,7,9973,12.6,11409,250,3.9,15050000,35900000,11470,27585,44080,1436,4564,6732
Culemborg,2012,0,1,89,384,887,224,77,38,8,9787,14.9,11495,244,3.92,14400000,34960000,11550,27630,43541,1708,4343,6893
Culemborg,2013,0,1,105,648,937,249,93,39,8,9518,17.9,11598,237,3.96,14360000,34900000,11615,27680,43845,2080,4374,7020
Culemborg,2014,0,1,305,718,1134,265,95,40,8,9064,22.1,11630,220,3.97,14000000,34470000,11595,27590,43240,2566,4446,7077
Culemborg,2015,0,1,585,836,1406,414,128,71,31,8057,30.1,11529,213,3.94,12820000,32950000,11630,27560,41480,3472,4335,7098
Culemborg,2016,0,1,1124,931,1853,649,173,114,62,6955,41.4,11862,216,4.05,12870000,32690000,11715,27644,40121,4907,4419,7286
Culemborg,2017,0,1,1419,1036,2153,705,206,147,80,6277,47.8,12024,216,4.11,13070000,32030000,11915,27864,38893,5747,4557,7308
Culemborg,2018,0,0,1806,1106,2248,681,214,151,88,5883,51.7,12177,223,4.16,13560000,30880000,12100,28195,38951,6294,4639,7387
Culemborg,2019,0,0,2130,1126,2151,604,196,153,107,5923,52.2,12390,235,4.23,13510000,31620000,12325,28555,37397,6467,4474,7820
Dalfsen,2008,1,0,1,10,26,39,21,7,6,9693,1.1,9804,289,0.59,20240000,36050000,10090,26740,53696,111,0,0
Dalfsen,2009,1,0,1,44,75,48,40,14,11,9688,2.4,9922,297,0.6,20570000,36010000,10280,27040,53899,234,2381,7539
Dalfsen,2010,1,1,17,75,157,119,64,30,17,9572,4.8,10053,296,0.61,20470000,36890000,10470,27260,53563,481,2413,7541
Dalfsen,2011,2,1,20,138,320,184,97,44,19,9324,8.1,10149,292,0.61,19830000,36910000,10605,27315,51706,825,2538,7511
Dalfsen,2012,3,1,47,205,398,235,120,56,22,9208,10.6,10295,284,0.62,19090000,36360000,10705,27430,51214,1087,2636,8187
Dalfsen,2013,3,21,116,218,438,255,127,58,23,9763,11.4,11022,272,0.67,19690000,38110000,10855,27570,53497,1259,2695,8281
Dalfsen,2014,3,21,118,294,567,281,142,61,26,9621,13.6,11134,255,0.67,19050000,36620000,10920,27675,52322,1513,2748,8345
Dalfsen,2015,3,21,322,383,692,345,172,84,60,9156,18.5,11238,248,0.68,18470000,36160000,10970,27677,52196,2082,2796,8403
Dalfsen,2016,3,21,552,481,979,453,224,121,116,8441,25.9,11391,252,0.69,18870000,35570000,11075,27916,51170,2950,3084,8260
Dalfsen,2017,3,21,836,592,1353,538,266,147,172,7516,34.3,11444,262,0.69,18730000,35320000,11205,28070,49445,3928,3114,8294
Dalfsen,2018,2,21,999,633,1372,594,312,158,200,7220,37.3,11511,272,0.7,19150000,34970000,11230,28242,49333,4291,3042,8415
Dalfsen,2019,2,20,1255,862,1428,496,256,154,202,7047,39.9,11722,283,0.71,18990000,34660000,11440,28499,46842,4675,2895,8803
Dantumadiel,2008,1,0,0,77,237,109,14,14,29,7149,6.3,7630,192,0.9,0,0,7560,19400,0,481,0,0
Dantumadiel,2009,1,0,20,115,259,119,19,25,32,7104,7.7,7694,200,0.91,14840000,22780000,7560,19370,37346,590,2770,4925
Dantumadiel,2010,2,0,21,117,263,122,19,28,32,7097,7.8,7701,200,0.91,15140000,22710000,7585,19285,37511,604,2772,4928
Dantumadiel,2011,2,0,21,119,265,124,20,30,32,7094,8,7707,199,0.91,14790000,22990000,7635,19310,36567,613,2851,4854
Dantumadiel,2012,2,0,49,132,278,130,22,30,33,7054,8.7,7730,196,0.91,14280000,22960000,7670,19265,36325,676,2853,4947
Dantumadiel,2013,3,1,90,197,455,275,75,30,33,6708,14.7,7867,181,0.93,14290000,22790000,7685,19130,36496,1159,2855,4956
Dantumadiel,2014,3,1,143,341,606,321,244,50,38,6292,21.7,8039,168,0.95,13740000,21700000,7690,19030,35381,1747,2889,4998
Dantumadiel,2015,3,1,185,381,734,380,263,70,78,5951,26,8046,163,0.95,13500000,21310000,7720,19059,35437,2095,2906,5001
Dantumadiel,2016,3,1,211,408,925,462,312,124,148,5471,32.2,8065,165,0.95,13380000,20750000,7725,19015,34085,2594,2888,5034
Dantumadiel,2017,3,1,241,526,1051,535,378,168,213,4968,38.5,8084,170,0.95,13070000,20260000,7740,18942,32529,3116,2914,5020
Dantumadiel,2018,2,1,333,573,1111,505,366,152,205,4896,39.9,8144,174,0.96,13200000,19890000,7745,18904,32189,3248,2900,5087
Dantumadiel,2019,2,1,474,612,1220,525,360,134,216,4603,43.5,8147,184,0.96,12980000,20010000,7755,18923,30654,3544,2989,5130
